xx_mm,yy_mm
100.20846242774566,60.87652941176469
100.31667052023121,60.7355
100.47371098265897,60.59117647058824
100.84383815028902,60.533117647058816
101.17808092485551,60.42317647058824
101.39153757225435,60.31385294117647
101.38894797687861,60.093558823529406
101.50899421965318,60.000911764705876
101.83842774566473,59.95994117647059
101.92573410404624,59.786794117647055
102.02284393063584,59.62682352941176
102.39852023121388,59.69682352941176
102.47990751445086,59.50844117647058
102.70446242774567,59.417029411764695
103.11713294797687,59.52182352941176
102.9678612716763,59.3050294117647
103.18501734104048,59.256441176470595
103.51796531791908,59.30667647058823
103.61137572254334,59.13373529411765
103.95764161849709,59.10676470588235
104.06085549132949,58.97520588235293
104.27005780346822,58.92661764705882
104.3444161849711,58.808647058823524
104.47167630057804,58.67605882352942
104.58820809248553,58.50723529411764
104.73636994219652,58.388441176470586
104.9833063583815,58.37032352941176
105.21747976878612,58.33017647058823
105.06598843930637,58.025882352941174
105.19250867052024,57.92458823529412
105.26020809248556,57.795500000000004
105.58039306358381,57.8504705882353
105.63273988439308,57.729617647058824
105.73077456647398,57.65405882352942
105.74982658959539,57.510558823529415
105.80328323699422,57.404529411764706
106.02987283236996,57.46114705882352
106.00453179190751,57.344617647058826
106.18043930635838,57.29417647058823
106.23315606936416,57.1700294117647
106.25905202312141,57.04547058823529
106.4819421965318,57.078823529411764
106.52596531791906,57.05308823529411
106.62270520231213,57.0440294117647
106.84226589595376,57.112794117647056
106.90885549132949,57.02179411764705
106.91089017341041,56.92605882352942
106.95380346820811,56.85750000000001
106.99153757225433,56.79079411764705
107.12434682080925,56.79573529411765
107.10307514450865,56.71049999999999
107.1870520231214,56.68599999999999
107.07200000000002,56.55814705882353
107.15542196531793,56.55711764705882
107.17225433526012,56.45726470588236
107.71440462427746,56.68558823529411
107.74289017341042,56.581
107.7944971098266,56.51923529411765
107.86534104046241,56.44964705882353
108.0059190751445,56.40888235294118
108.27838150289017,56.48629411764706
108.71990751445085,56.65223529411765
108.93613872832371,56.616205882352936
109.15976878612716,56.571735294117644
109.09872832369943,56.44367647058823
109.10261271676302,56.30038235294118
109.11981502890173,56.13526470588235
109.06173410404624,55.985588235294124
108.95445086705202,55.769
109.00587283236995,55.66317647058825
