xx,yy
170.64,168.82299999999998
172.988,169.50799999999998
174.609,170.19099999999997
176.40900000000002,171.02200000000002
178.111,171.824
180.18,172.636
180.93200000000002,172.855
181.555,173.048
182.52900000000002,173.3
183.99,173.27700000000002
184.738,173.055
187.468,172.829
187.611,172.821
187.112,169.34599999999998
180.67700000000002,160.40200000000002
177.125,157.343
173.955,154.325
173.822,153.412
173.47799999999998,151.69799999999998
173.97400000000002,144.192
173.5,143.35299999999998
173.792,142.73
175.862,141.694
189.245,139.921
194.535,140.352
198.19,141.124
201.293,142.292
206.44299999999998,145.64
212.895,150.875
216.33700000000002,153.83100000000002
220.03900000000002,157.013
220.263,157.204
224.53,160.789
228.53900000000002,163.666
229.97,165.12599999999998
231.753,167.123
232.78799999999998,168.345
234.408,169.52599999999998
234.771,170.352
234.912,170.861
235.69400000000002,171.46900000000002
236.114,171.71400000000003
236.28400000000002,171.75900000000001
235.804,171.847
235.77599999999998,171.851
233.429,171.358
231.542,170.78900000000002
230.44099999999997,170.14
228.96099999999998,169.365
228.43900000000002,169.049
228.315,168.717
226.55,168.512
243.273,158.798
248.155,156.567
252.373,154.524
256.447,152.306
265.778,137.342
267.0,133.5
267.499,130.224
267.108,126.036
266.97700000000003,122.462
267.849,119.43299999999999
267.866,116.505
266.47700000000003,113.179
265.803,109.633
266.279,106.427
267.684,102.70100000000001
265.501,99.5133
261.807,95.5642
258.394,91.425
255.88099999999997,86.156
252.84,81.7726
252.87900000000002,79.5751
252.69799999999998,77.8195
253.65200000000002,76.2381
255.7,76.4237
255.225,76.5751
253.88,76.8347
252.824,76.6453
251.886,76.6726
251.16099999999997,77.1445
249.768,77.9461
250.56599999999997,78.3208
247.422,79.6099
244.0,81.4286
241.49200000000002,83.2572
237.83900000000003,85.5173
233.253,89.4956
230.649,93.0406
228.364,96.9489
225.28900000000002,100.815
222.614,104.726
219.517,109.00299999999999
212.18,113.56299999999999
206.00900000000001,117.039
201.62900000000002,120.584
199.02900000000002,123.2
196.761,126.19200000000001
194.59,129.28799999999998
191.521,133.666
189.833,137.687
187.75400000000002,141.405
186.34400000000002,144.19299999999998
184.94400000000002,146.747
184.968,148.715
184.168,150.766
183.757,152.245
182.96,153.982
182.248,155.713
181.692,157.409
182.93599999999998,158.685
185.45,159.789
187.482,161.686
190.736,164.433
193.032,166.278
194.27200000000002,166.632
195.946,167.86700000000002
197.99400000000003,169.58599999999998
200.55599999999998,171.75400000000002
203.0,173.68200000000002
205.365,175.13299999999998
206.80700000000002,175.06099999999998
210.481,175.949
213.208,176.354
214.407,175.95
215.81900000000002,175.49099999999999
217.65099999999998,174.87
217.86900000000003,173.487
217.855,173.42
216.56,169.68
214.92700000000002,166.83900000000003
213.835,164.56
213.72299999999998,162.186
